name
ABD阿巴具
ABJ阿必尚
ABQ阿波寇爾喀
ACA亞加普科
ACC阿克拉
ADD阿迪斯阿魯巴
ADE亞丁
AKL奧克蘭
ALG阿爾吉爾
AMM安曼
AMS阿姆斯特丹
ANC安克拉治
ANK安卡拉
ASU亞松森
ATH雅典
ATL亞特蘭大
BAG碧港
BAH巴林
BCN巴塞隆納
BEG貝爾格來得
BER柏林
BEY貝魯特
BGF班基
BGI橋鎮
BGW巴格達
BKI亞庇
BKK曼谷
BKO巴馬科
BLZ布蘭太
BNE布里斯本
BNJ波昂
BOG哈瓦納
BOM孟買
BOS波士頓
BRU布魯塞爾
BSB巴西利亞
BUD布達佩斯
BUE布宜諾艾利斯
BUF水牛城
BUH布加勒斯
BWN汶來
BZV布拉薩市
CAI開羅
CAN廣州
CAS卡薩馬達卡
CAY開雪
CBR坎培拉
CCS加拉加斯
CCU加爾各答
CEB宿霧
CGN科隆
CGP吉大港
CHC基督城
CHI芝加哥
CKG重慶
CKY科那克里
CLE克里夫蘭
CMB可倫坡
CNS凱恩斯
CNX清邁
COO科多努
CPH哥本哈根
CPT開普敦
CSX長沙
CTU成都
CVG辛辛那提
DAC達卡
DAM大馬士革
DAR達來撤蘭
DEL新得里
DEN丹佛
DFW達拉斯
DHA達蘭
DIL帝利
DKR達卡
DLC大連
DOH杜哈
DPS巴里島
DRW達爾文
DTT底特律
DUB都伯林
DUS杜塞道夫
DXB杜拜
EBB恩特比/坎帕拉
EDI愛丁堡
EDI愛丁堡
FIA金夏沙
FNA自由城
FOC福州
FRA法蘭克福
FTL拉米堡
FUK福岡
GIB直布羅陀
GLA格拉斯哥
GRG喬治市
GUA瓜地馬拉
GUM關島
GVA日內瓦
HAK海口
HAM漢堡
HAN河內
HBT何巴特
HEL赫爾辛基
HGH杭州
HKG香港
HKT普吉島
HNL夏威夷
HOU休斯頓
HRB哈爾濱
IND印第安那
INU諾魯
IPH怡保
IST伊斯坦堡
JED吉達
JKT雅加達
JNB約翰尼斯堡
KBL喀布爾
KCH古晉
KHH高雄
KHI喀拉蚩
KHN南昌
KIN京士頓
KMG昆明
KRT卡吐穆
KTM加得滿都
KUL吉隆坡
KWI科威特
KWL桂林
LAD盧安達
LAS拉斯維加斯
LAX洛杉磯
LFW洛梅
LIM基多
LIS里斯本
LIT小岩石城
LLW里郎威
LON倫敦
LOS拉哥斯
LPA拉斯馬巴斯
LPB拉巴斯
LUM魯倫素馬凱斯
LUN露沙卡
LVB自由府
MAA馬德拉斯
MAD馬德里
MAN曼徹斯特
MAO瑪瑙斯
MBJ蒙特哥灣
MCT馬斯開特
MEB墨爾本
MES棉蘭
MEX墨西哥
MFM澳門
MGA馬拿瓜
MGO摩加迪修
MIA邁阿密
MIL米蘭
MKC堪薩斯城
MKE米爾瓦基
MLA馬爾他
MLW蒙羅維亞
MNL馬尼拉
MRU模里西斯
MSP明尼亞玻利
MSU馬基魯
MSY新奧爾良
MTN巴爾的摩
MTS馬基尼
MUC幕尼黑
MVD蒙地維多
NAN南地
NBO奈洛彼
NCE尼斯
NDJ恩將納
NGO名古屋
NIM尼阿美
NKG南京
NOU努美亞
NYK紐約
OKA沖繩
OKC奧克拉荷馬城
ORL奧蘭多
OSA大阪
OSL奧斯陸
OUA瓦加杜古
PAP太子港
PAR巴黎
PBM巴拉馬利波
PDX波特蘭
PEK北京
PEN檳城
PER伯斯
PHL費城
PHX鳳凰城
PIT匹茲堡
PLM巨港
PNH金邊
POM摩勒斯比港
POS西班牙港
PPG巴哥巴哥
PPT大溪地
PRG布拉格
PTY巴拿馬
PUS釜山
REL雷雪夫
RGN仰光
RIO里約熱內盧
ROM羅馬
RUH利雅德
SAL聖薩爾瓦多
SAN聖地牙哥
SAO聖保羅
SAT聖安東尼
SAY索斯伯里
SBW詩鄔
SCL利馬
SDQ聖多明哥
SEA西雅圖
SEL漢城
SFO舊金山
SGN西貢
SHA上海
SIA西安
SIN新加坡
SJC聖荷西
SJO聖約瑟
SJU聖湖安
SLC鹽湖城
SNN汕隆
SOF索非亞
SPK札幌
SPN塞班
STL聖路易
STO斯德哥爾摩
STR斯圖加特
SUB泗水
SUV蘇瓦
SWA汕頭
SYD雪梨
SYX三亞
SZX深圳
TAO青島
TBU東加大埔
TGU德古斯加巴
THR德黑蘭
TIP地黎波斯
TLV台拉維夫
TNR塔那那次棉
TPE台北
TSA松山
TSN天津
TUN突尼斯
TUS吐桑
TYO東京
UIO波哥大
VIE維也納
VTE永珍
WAS華盛頓
WAW華沙
WDH溫黎克
WLG威靈頓
WNZ溫州
XMN廈門
YAO亞恩德
YEA愛德頓
YHZ哈立法克斯
YMG溫尼伯
YMQ蒙特婁
YNT煙台
YOW渥太華
YQX干達
YVR溫哥華
YYC卡加立
YYZ多倫多
ZRH蘇黎世
其他
不適用
