name
中國大陸  CHINA
台灣(中華民國)  TAIWAN
阿爾及利亞ALGERIA
美屬薩摩亞AMERICAN SAMOA
安哥拉ANGOLA
南極洲ANTARCTICA
貝南（達荷美）BENIN
波扎那BOTSWANA
英屬印度洋地區BRITISH INDIAN OCEAN TERRITORY
上伏塔（布吉納法索）BURKINA FASO
蒲隆地BURUNDI
喀麥隆CAMEROON
佛德角CAPE VERDE
中非共和國CENTRAL AFRICAN REPUBLIC
查德CHAD
聖誕島CHRISTMAS ISLAND
可可斯群島COCOS (KEELING) ISLANDS
葛摩COMOROS
剛果CONGO
薩伊CONGO DEMOCRATIC REPUBLIC OF THE
科克群島COOK ISLANDS
象牙海岸COTE D'IOVIRE
吉布地DJIBOUTI
埃及EGYPT
赤道幾內亞EQUATORIAL GUINEA
厄利垂亞ERITREA
衣索比亞ETHIOPIA
法屬玻里尼西亞FRENCH POLYNESIA
加彭GABON
甘比亞GAMBIA
迦納GHANA
幾內亞GUINEA
幾內亞比索GUINEA-BISSAU
赫德及麥當勞群島HEARD AND MCDONALD ISLANDS
肯亞KENYA
吉里巴斯KIRIBATI
賴索托LESOTHO
賴比瑞亞LIBERIA
利比亞LIBYAN ARAB JAMAHIRIYA
馬達加斯加MADAGASCAR
馬拉威MALAWI
馬爾地夫MALDIVES
馬利MALI
茅利塔尼亞MAURITANIA
模里西斯MAURITIUS
美亞特MAYOTTE
密克羅尼西亞MICRONESIA (FEDERATED STATES OF)
摩洛哥MOROCCO
莫三鼻給MOZAMBIQUE
納米比亞NAMIBIA
諾魯NAURU
新喀里多尼亞NEW CALEDONIA
尼日NIGER
奈及利亞NIGERIA
紐威島NIUE
諾福克群島NORFOLK ISLAND
北里亞納群島NORTHERN MARIANA ISLANDS
巴布亞新幾內亞PAPUA NEW GUINEA
皮特康島PITCAIRN
留尼旺REUNION
盧安達RWANDA
聖赫勒拿島SAINT HELENA
聖托馬－普林斯浦SAO TOME AND PRINCIPE
塞內加爾SENEGAL
塞席爾共和國SEYCHELLES REPUBLIC OF
獅子山SIERRA LEONE
索馬利亞SOMALIA
南非共和國SOUTH AFRICA
南喬治亞島與南三明治群島SOUTH GEORGIA AND SOUTH SANDWICH ISLANDS
蘇丹SUDAN
史瓦濟蘭SWAZILAND
坦尚尼亞TANZANIA UNITED REPUBLIC OF
多哥TOGO
東加TONGA
突尼西亞TUNISIA
吐瓦魯TUVALU
烏干達UGANDA
萬那杜VANUATU
沃里斯及伏塔那島WALLIS AND FUTUNA ISLANDS
西撒哈拉WESTERN SAHARA
尚比亞ZAMBIA
辛巴威（羅德西亞）ZIMBABWE
阿富汗AFGHANISTAN
亞美尼亞ARMENIA
澳大利亞AUSTRALIA
亞塞拜然AZERBAIJAN
巴林BAHRAIN
孟加拉BANGLADESH
不丹BHUTAN
汶萊BRUNEI DARUSSALAM
高棉CAMBODIA
帝汶EAST TIMOR
斐濟FIJI
喬治亞GEORGIA
關島GUAM
香港HONG KONG
印度INDIA
印尼INDONESIA
伊朗IRAN (ISLAMIC REPUBLIC OF)
伊拉克IRAQ
以色列ISRAEL
日本JAPAN
約旦JORDAN
哈薩克KAZAKHSTAN
北韓KOREA DEMOCRATIC PEOPLE'S OF
南韓(大韓民國)KOREA REPUBLIC OF
科威特KUWAIT
吉爾吉斯KYRGYZSTAN
寮國LAO PEOPLE'S DEMOCRATIC REPUBLIC
黎巴嫩LEBANON
澳門MACAO
馬來西亞MALAYSIA
馬紹爾群島MARSHALL ISLANDS
蒙古MONGOLIA
緬甸MYANMAR
尼伯爾NEPAL
紐西蘭NEW ZEALAND
阿曼OMAN
巴基斯坦PAKISTAN
帛琉PALAU
菲律賓PHILIPPINES
庫達（卡達）QATAR
薩摩亞獨立國SAMOA INDEPENDENT STATE OF
沙烏地阿拉伯SAUDI ARABIA
新加坡SINGAPORE
索羅門群島SOLOMON ISLANDS
斯里蘭卡SRI LANKA
敘利亞SYRIAN ARAB REPUBLIC
塔吉克TAJIKISTAN
泰國THAILAND
托克勞群島TOKELAU
土耳其TURKEY
土庫曼TURKMENISTAN
